,area_type,location,size,total_sqft,bath,price,bhk,price_per_sqft
2105,Plot  Area,Devanahalli,5 Bedroom,2400.0,5.0,100.0,5,4166.666666666667
2108,Super built-up  Area,Devanahalli,2 BHK,1174.0,2.0,59.0,2,5025.553662691653
2109,Super built-up  Area,Devanahalli,1 BHK,658.0,1.0,34.0,1,5167.173252279636
2110,Super built-up  Area,Devanahalli,1 BHK,658.0,1.0,26.91,1,4089.665653495441
2111,Super built-up  Area,Devanahalli,1 BHK,698.5,1.0,28.57,1,4090.1932712956336
2112,Super built-up  Area,Devanahalli,2 BHK,1080.0,2.0,52.0,2,4814.814814814815
2113,Super built-up  Area,Devanahalli,3 BHK,1700.0,3.0,88.2,3,5188.235294117647
2114,Super built-up  Area,Devanahalli,3 BHK,1498.0,3.0,79.15,3,5283.711615487317
2115,Super built-up  Area,Devanahalli,3 BHK,1466.0,3.0,77.59,3,5292.633015006822
2116,Super built-up  Area,Devanahalli,1 BHK,775.0,1.0,39.0,1,5032.258064516129
2117,Super built-up  Area,Devanahalli,1 BHK,1020.0,2.0,49.87,1,4889.21568627451
2118,Super built-up  Area,Devanahalli,2 BHK,1045.0,2.0,48.0,2,4593.301435406698
2119,Super built-up  Area,Devanahalli,3 BHK,1550.0,3.0,85.0,3,5483.870967741936
2121,Super built-up  Area,Devanahalli,2 BHK,1340.0,2.0,65.0,2,4850.746268656716
2122,Built-up  Area,Devanahalli,3 Bedroom,2125.0,3.0,107.0,3,5035.294117647059
2123,Super built-up  Area,Devanahalli,2 BHK,1230.0,2.0,56.45,2,4589.430894308943
2124,Super built-up  Area,Devanahalli,2 BHK,1360.0,2.0,62.425,2,4590.073529411765
2125,Super built-up  Area,Devanahalli,1 BHK,658.0,1.0,26.91,1,4089.665653495441
2127,Built-up  Area,Devanahalli,2 BHK,1010.0,2.0,58.0,2,5742.574257425743
2130,Super built-up  Area,Devanahalli Int. Airport,2 BHK,1380.0,2.0,80.0,2,5797.101449275362
2131,Super built-up  Area,Devanahalli Int. Airport,2 BHK,1080.0,2.0,62.0,2,5740.740740740741
2132,Super built-up  Area,Devarabeesana Halli,2 BHK,1100.0,2.0,70.0,2,6363.636363636364
2133,Super built-up  Area,Devarabeesana Halli,3 BHK,1672.0,3.0,150.0,3,8971.291866028709
2134,Built-up  Area,Devarabeesana Halli,3 BHK,1750.0,3.0,149.0,3,8514.285714285714
2135,Super built-up  Area,Devarabeesana Halli,3 BHK,1750.0,3.0,150.0,3,8571.42857142857
2136,Super built-up  Area,Devarabeesana Halli,3 BHK,1738.0,3.0,110.0,3,6329.113924050633
2138,Super built-up  Area,Devarachikkanahalli,2 BHK,1250.0,2.0,40.0,2,3200.0
2139,Plot  Area,Devarachikkanahalli,2 Bedroom,1200.0,2.0,83.0,2,6916.666666666667
2140,Super built-up  Area,Devarachikkanahalli,2 BHK,1170.0,2.0,40.0,2,3418.803418803419
2141,Built-up  Area,Devarachikkanahalli,1 BHK,615.0,1.0,24.0,1,3902.439024390244
2142,Super built-up  Area,Devarachikkanahalli,2 BHK,1230.0,2.0,58.0,2,4715.447154471544
2143,Super built-up  Area,Devarachikkanahalli,3 BHK,1425.0,2.0,65.0,3,4561.403508771929
2144,Super built-up  Area,Devarachikkanahalli,2 BHK,947.0,2.0,43.0,2,4540.654699049631
2145,Super built-up  Area,Devarachikkanahalli,2 BHK,1130.0,2.0,36.0,2,3185.8407079646017
2146,Super built-up  Area,Devarachikkanahalli,3 BHK,1417.0,2.0,76.0,3,5363.443895553987
2147,Super built-up  Area,Devarachikkanahalli,2 BHK,1230.0,2.0,58.0,2,4715.447154471544
2148,Super built-up  Area,Devarachikkanahalli,3 BHK,1705.0,3.0,75.0,3,4398.826979472141
2149,Built-up  Area,Devarachikkanahalli,2 BHK,1116.0,2.0,47.0,2,4211.469534050179
2150,Super built-up  Area,Devarachikkanahalli,2 BHK,991.0,2.0,40.0,2,4036.326942482341
2152,Built-up  Area,Devasthanagalu,3 BHK,1460.0,3.0,70.0,3,4794.520547945205
2153,Built-up  Area,Devasthanagalu,2 BHK,1090.0,2.0,45.0,2,4128.440366972477
2154,Super built-up  Area,Devasthanagalu,2 BHK,946.0,2.0,45.0,2,4756.871035940803
2155,Built-up  Area,Devasthanagalu,3 BHK,1470.0,2.0,60.0,3,4081.6326530612246
2156,Super built-up  Area,Devi Nagar,2 BHK,1100.0,2.0,61.0,2,5545.454545454545
2157,Built-up  Area,Devi Nagar,2 BHK,1200.0,2.0,45.0,2,3750.0
2158,Super built-up  Area,Devi Nagar,3 BHK,2000.0,3.0,105.0,3,5250.0
2159,Built-up  Area,Devi Nagar,3 BHK,1410.0,3.0,68.0,3,4822.695035460993
2160,Carpet  Area,Dinnur,2 BHK,1100.0,2.0,65.0,2,5909.090909090909
2161,Super built-up  Area,Divya Unnathi Layout,3 BHK,1611.0,2.0,64.44,3,4000.0
2162,Super built-up  Area,Divya Unnathi Layout,3 BHK,1610.0,2.0,64.4,3,4000.0000000000005
2163,Super built-up  Area,Divya Unnathi Layout,2 BHK,1339.0,2.0,53.56,2,4000.0
2164,Super built-up  Area,Doctors Layout,2 BHK,1520.0,2.0,62.0,2,4078.9473684210525
2165,Super built-up  Area,Doctors Layout,2 BHK,1125.0,2.0,44.0,2,3911.1111111111113
2166,Built-up  Area,Doctors Layout,2 BHK,1000.0,2.0,42.0,2,4200.0
2167,Super built-up  Area,Doctors Layout,2 BHK,1225.0,2.0,47.0,2,3836.734693877551
2168,Super built-up  Area,Doctors Layout,3 BHK,1215.0,2.0,46.8,3,3851.8518518518517
2169,Super built-up  Area,Dodda Banaswadi,3 BHK,1500.0,3.0,56.0,3,3733.3333333333335
2170,Built-up  Area,Dodda Banaswadi,3 BHK,1300.0,2.0,60.0,3,4615.384615384615
2171,Super built-up  Area,Dodda Kempaiah Layout,3 BHK,1600.0,3.0,75.0,3,4687.5
2172,Super built-up  Area,Dodda Kempaiah Layout,2 BHK,1015.0,2.0,45.0,2,4433.4975369458125
2173,Built-up  Area,Dodda Nekkundi,2 BHK,1260.0,2.0,55.0,2,4365.079365079365
2174,Super built-up  Area,Dodda Nekkundi,2 BHK,850.0,2.0,28.0,2,3294.1176470588234
2175,Super built-up  Area,Dodda Nekkundi,2 BHK,1390.0,2.0,60.0,2,4316.546762589928
2176,Super built-up  Area,Dodda Nekkundi,3 BHK,1804.0,3.0,121.0,3,6707.317073170731
2177,Super built-up  Area,Dodda Nekkundi,2 BHK,1080.0,2.0,50.0,2,4629.62962962963
2178,Super built-up  Area,Dodda Nekkundi,3 BHK,1999.0,3.0,132.0,3,6603.301650825412
2179,Super built-up  Area,Dodda Nekkundi,2 BHK,1100.0,2.0,48.0,2,4363.636363636364
2180,Super built-up  Area,Dodda Nekkundi,3 BHK,1999.0,3.0,135.0,3,6753.376688344172
2181,Super built-up  Area,Dodda Nekkundi,2 BHK,1100.0,2.0,41.15,2,3740.909090909091
2182,Super built-up  Area,Dodda Nekkundi,3 BHK,1252.0,2.0,71.0,3,5670.926517571885
2183,Super built-up  Area,Dodda Nekkundi,2 BHK,1155.0,2.0,46.0,2,3982.683982683983
2184,Super built-up  Area,Dodda Nekkundi,2 BHK,1128.0,2.0,45.0,2,3989.3617021276596
2185,Super built-up  Area,Dodda Nekkundi,2 BHK,1148.0,2.0,56.0,2,4878.048780487805
2187,Built-up  Area,Dodda Nekkundi,2 BHK,1145.0,2.0,46.5,2,4061.1353711790393
2188,Super built-up  Area,Dodda Nekkundi,3 BHK,1829.0,3.0,125.0,3,6834.3357025697105
2189,Super built-up  Area,Dodda Nekkundi,2 BHK,1100.0,2.0,41.16,2,3741.8181818181815
2190,Super built-up  Area,Dodda Nekkundi,2 BHK,1100.0,2.0,46.75,2,4250.0
2191,Super built-up  Area,Dodda Nekkundi,2 BHK,1315.0,2.0,50.0,2,3802.2813688212927
2192,Super built-up  Area,Dodda Nekkundi,2 BHK,1135.0,2.0,58.0,2,5110.132158590309
2193,Super built-up  Area,Dodda Nekkundi,2 BHK,1100.0,2.0,41.18,2,3743.6363636363635
2194,Built-up  Area,Dodda Nekkundi,2 BHK,1370.0,2.0,60.0,2,4379.56204379562
2195,Super built-up  Area,Dodda Nekkundi,2 BHK,1200.0,2.0,71.0,2,5916.666666666667
2196,Super built-up  Area,Dodda Nekkundi,3 BHK,1585.0,2.0,79.0,3,4984.22712933754
2197,Built-up  Area,Dodda Nekkundi,2 BHK,1005.0,2.0,45.0,2,4477.611940298508
2198,Super built-up  Area,Dodda Nekkundi,2 BHK,1264.0,2.0,52.0,2,4113.9240506329115
2199,Super built-up  Area,Dodda Nekkundi Extension,2 BHK,1148.0,2.0,60.0,2,5226.480836236934
2200,Super built-up  Area,Dodda Nekkundi Extension,2 BHK,1188.0,2.0,73.0,2,6144.781144781145
2201,Super built-up  Area,Dodda Nekkundi Extension,2 BHK,1148.0,2.0,69.0,2,6010.452961672474
2202,Super built-up  Area,Dodda Nekkundi Extension,3 BHK,1864.0,3.0,115.0,3,6169.527896995708
2203,Super built-up  Area,Dodda Nekkundi Extension,3 BHK,1458.0,2.0,87.0,3,5967.078189300411
2204,Super built-up  Area,Doddaballapur,4 BHK,1690.0,3.0,80.0,4,4733.7278106508875
2205,Plot  Area,Doddaballapur,4 Bedroom,4200.0,4.0,325.0,4,7738.0952380952385
2206,Plot  Area,Doddaballapur,3 Bedroom,3876.0,3.0,300.0,3,7739.938080495356
2207,Plot  Area,Doddaballapur,3 Bedroom,2776.0,4.0,195.0,3,7024.495677233429
2208,Plot  Area,Doddaballapur,3 Bedroom,2440.0,3.0,142.0,3,5819.672131147541
2209,Plot  Area,Doddaballapur,4 Bedroom,2400.0,3.0,200.0,4,8333.333333333334
2210,Super built-up  Area,Doddaballapur,1 BHK,654.0,1.0,49.0,1,7492.354740061162
2211,Plot  Area,Doddaballapur,4 Bedroom,3206.0,5.0,270.0,4,8421.70929507174
2212,Super built-up  Area,Doddabanahalli,2 BHK,830.0,2.0,37.0,2,4457.831325301205
2213,Super built-up  Area,Doddabanahalli,2 BHK,800.0,2.0,30.0,2,3750.0
2214,Super built-up  Area,Doddabanahalli,3 BHK,1290.0,3.0,45.33,3,3513.953488372093
2215,Plot  Area,Doddabidrakallu,3 Bedroom,1200.0,3.0,74.0,3,6166.666666666667
2216,Super built-up  Area,Doddabommasandra,3 BHK,1550.0,2.0,70.0,3,4516.129032258064
2217,Carpet  Area,Doddabommasandra,8 Bedroom,3150.0,5.0,145.0,8,4603.174603174603
2218,Super built-up  Area,Doddabommasandra,2 BHK,1300.0,2.0,32.0,2,2461.5384615384614
2219,Plot  Area,Doddagubbi,3 Bedroom,1125.0,4.0,70.0,3,6222.222222222223
2220,Super built-up  Area,Doddagubbi,1 BHK,747.0,1.0,27.0,1,3614.4578313253014
2221,Super built-up  Area,Doddakallasandra,2 BHK,1010.0,2.0,40.39,2,3999.009900990099
2226,Super built-up  Area,Doddakallasandra,2 BHK,1010.0,2.0,40.39,2,3999.009900990099
2227,Super built-up  Area,Doddakallasandra,2 BHK,1072.0,2.0,42.87,2,3999.0671641791046
2228,Super built-up  Area,Doddakallasandra,2 BHK,1010.0,2.0,40.4,2,4000.0
2229,Super built-up  Area,Doddakallasandra,2 BHK,1010.0,2.0,41.0,2,4059.4059405940593
2230,Super built-up  Area,Doddakallasandra,2 BHK,1072.0,2.0,42.87,2,3999.0671641791046
2231,Built-up  Area,Doddakammanahalli,3 BHK,1550.0,2.0,60.0,3,3870.967741935484
2232,Super built-up  Area,Doddakammanahalli,2 BHK,1180.0,2.0,56.0,2,4745.762711864407
2233,Super built-up  Area,Doddakammanahalli,3 BHK,1409.0,2.0,62.0,3,4400.28388928318
2234,Super built-up  Area,Doddakammanahalli,3 BHK,1119.0,2.0,48.5,3,4334.226988382485
2235,Built-up  Area,Doddakammanahalli,2 BHK,1160.0,2.0,55.0,2,4741.379310344828
2236,Super built-up  Area,Doddakannelli,3 BHK,1475.0,3.0,70.0,3,4745.762711864407
2237,Built-up  Area,Doddakannelli,2 BHK,1025.0,2.0,48.0,2,4682.926829268293
2238,Super built-up  Area,Doddanakundi Industrial Area 2,2 BHK,1512.0,1.0,65.01,2,4299.603174603175
2239,Built-up  Area,Doddanakundi Industrial Area 2,3 BHK,1768.0,3.0,95.0,3,5373.303167420814
2240,Super built-up  Area,Doddanakundi Industrial Area 2,2 BHK,1092.0,2.0,49.0,2,4487.179487179487
2241,Super built-up  Area,Doddanekundi,3 BHK,1760.0,3.0,176.0,3,10000.0
2242,Super built-up  Area,Doddanekundi,2 BHK,1280.0,2.0,40.0,2,3125.0
2243,Super built-up  Area,Doddanekundi,3 BHK,2045.0,4.0,154.0,3,7530.562347188264
2244,Built-up  Area,Doddanekundi,2 BHK,1148.0,2.0,59.0,2,5139.3728222996515
2245,Super built-up  Area,Doddanekundi,2 BHK,1128.0,2.0,48.4,2,4290.780141843971
2246,Super built-up  Area,Doddathoguru,2 BHK,970.0,2.0,33.0,2,3402.061855670103
2247,Built-up  Area,Doddathoguru,2 BHK,1050.0,2.0,32.0,2,3047.6190476190477
2248,Super built-up  Area,Doddathoguru,2 BHK,850.0,2.0,25.0,2,2941.176470588235
2249,Super built-up  Area,Doddathoguru,2 BHK,1030.0,2.0,42.0,2,4077.669902912621
2250,Super built-up  Area,Doddathoguru,3 BHK,1549.0,3.0,65.0,3,4196.255648805681
2252,Super built-up  Area,Doddathoguru,1 BHK,550.0,1.0,17.0,1,3090.909090909091
2253,Super built-up  Area,Doddathoguru,2 BHK,1015.0,2.0,33.5,2,3300.4926108374384
2254,Super built-up  Area,Doddathoguru,2 BHK,1104.0,2.0,39.0,2,3532.608695652174
2255,Super built-up  Area,Doddathoguru,2 BHK,915.0,2.0,32.0,2,3497.2677595628415
2256,Super built-up  Area,Doddathoguru,1 BHK,750.0,1.0,25.5,1,3400.0
2257,Super built-up  Area,Doddathoguru,3 BHK,1595.0,3.0,62.0,3,3887.1473354231975
2258,Super built-up  Area,Doddathoguru,2 BHK,855.0,2.0,32.0,2,3742.690058479532
2259,Super built-up  Area,Doddathoguru,2 BHK,1105.0,2.0,50.0,2,4524.886877828054
2260,Built-up  Area,Doddathoguru,2 BHK,925.0,2.0,30.0,2,3243.2432432432433
2262,Built-up  Area,Doddathoguru,3 BHK,1208.0,3.0,45.0,3,3725.1655629139073
2263,Built-up  Area,Doddathoguru,2 BHK,1100.0,2.0,50.0,2,4545.454545454545
2264,Super built-up  Area,Doddathoguru,2 BHK,940.0,2.0,32.9,2,3500.0
2265,Super built-up  Area,Doddathoguru,3 BHK,1382.0,3.0,65.0,3,4703.328509406657
2266,Built-up  Area,Doddathoguru,2 BHK,1107.0,2.0,44.0,2,3974.706413730804
2267,Built-up  Area,Doddathoguru,2 BHK,907.0,2.0,40.0,2,4410.143329658214
2268,Super built-up  Area,Doddathoguru,3 BHK,1783.0,3.0,85.0,3,4767.246214245653
2269,Super built-up  Area,Doddathoguru,1 BHK,550.0,1.0,17.0,1,3090.909090909091
2270,Plot  Area,Dodsworth Layout,4 Bedroom,30000.0,4.0,2100.0,4,7000.0
2271,Super built-up  Area,Dodsworth Layout,2 BHK,1400.0,2.0,80.0,2,5714.285714285715
2272,Super built-up  Area,Dodsworth Layout,3 BHK,1717.0,3.0,99.0,3,5765.87070471753
2273,Super built-up  Area,Dodsworth Layout,3 BHK,1594.0,3.0,99.0,3,6210.790464240903
2274,Super built-up  Area,Dodsworth Layout,3 BHK,1893.0,3.0,115.0,3,6075.0132065504495
2275,Super built-up  Area,Dodsworth Layout,2 BHK,1400.0,2.0,85.0,2,6071.428571428572
2276,Plot  Area,Dodsworth Layout,6 Bedroom,30400.0,4.0,1824.0,6,6000.0
2277,Super built-up  Area,Dollar Scheme Colony,4 BHK,3563.0,6.0,310.0,4,8700.533258490037
2278,Built-up  Area,Dollar Scheme Colony,4 BHK,3463.0,6.0,310.0,4,8951.775916835115
2279,Super built-up  Area,Dollars Colony,4 BHK,3500.0,4.0,350.0,4,10000.0
2280,Super built-up  Area,Dollars Colony,4 BHK,3100.0,5.0,385.0,4,12419.354838709678
2281,Super built-up  Area,Dollars Colony,2 BHK,1097.0,2.0,65.0,2,5925.2506836827715
2282,Super built-up  Area,Dollars Colony,3 BHK,1350.0,3.0,75.0,3,5555.555555555556
2283,Plot  Area,Dollars Colony,3 Bedroom,7800.0,3.0,2000.0,3,25641.02564102564
2284,Built-up  Area,Dollars Colony,4 BHK,2100.0,3.0,280.0,4,13333.333333333334
2285,Super built-up  Area,Dollars Colony,3 BHK,2000.0,3.0,200.0,3,10000.0
2286,Super built-up  Area,Dollars Layout,3 BHK,1460.0,3.0,88.0,3,6027.397260273972
2287,Super built-up  Area,Dollars Layout,3 BHK,2456.0,3.0,220.0,3,8957.654723127036
2288,Super built-up  Area,Domlur,3 BHK,1540.0,3.0,90.0,3,5844.1558441558445
2289,Super built-up  Area,Domlur,3 BHK,1875.0,2.0,150.0,3,8000.0
2290,Super built-up  Area,Domlur,3 BHK,1429.0,3.0,86.0,3,6018.194541637508
2291,Built-up  Area,Domlur,1 BHK,640.0,1.0,55.0,1,8593.75
2292,Super built-up  Area,Domlur,2 BHK,1050.0,2.0,85.0,2,8095.238095238095
2293,Super built-up  Area,Domlur,3 BHK,1800.0,3.0,150.0,3,8333.333333333334
2294,Super built-up  Area,Domlur,3 BHK,1720.0,3.0,135.0,3,7848.837209302325
2295,Super built-up  Area,Domlur,3 BHK,1950.0,3.0,165.0,3,8461.538461538461
2296,Built-up  Area,Domlur,3 BHK,2180.0,3.0,285.0,3,13073.394495412844
2297,Super built-up  Area,Domlur,1 BHK,650.0,1.0,70.0,1,10769.23076923077
2298,Super built-up  Area,Domlur,1 BHK,780.0,1.0,70.0,1,8974.358974358975
2299,Super built-up  Area,Domlur,3 BHK,2180.0,3.0,285.0,3,13073.394495412844
2300,Super built-up  Area,Domlur,3 BHK,1740.0,3.0,120.0,3,6896.551724137931
2301,Built-up  Area,Domlur,3 BHK,1695.0,3.0,125.0,3,7374.6312684365785
2302,Super built-up  Area,Domlur,2 BHK,1246.0,2.0,95.0,2,7624.398073836276
2303,Super built-up  Area,Domlur,3 BHK,2100.0,3.0,145.0,3,6904.761904761905
2304,Super built-up  Area,Domlur,2 BHK,1276.0,2.0,80.0,2,6269.592476489028
2305,Super built-up  Area,Domlur,3 BHK,1850.0,3.0,180.0,3,9729.72972972973
2306,Super built-up  Area,Domlur,3 BHK,2955.0,3.0,235.0,3,7952.622673434857
2307,Built-up  Area,Domlur,3 BHK,1650.0,3.0,180.0,3,10909.09090909091
2308,Plot  Area,Domlur Layout,2 Bedroom,900.0,2.0,160.0,2,17777.777777777777
2309,Super built-up  Area,Dommasandra,2 BHK,805.0,2.0,22.14,2,2750.3105590062114
2311,Built-up  Area,Dommasandra,3 BHK,1267.0,3.0,56.0,3,4419.889502762431
2312,Super built-up  Area,Dommasandra,2 BHK,1200.0,2.0,50.0,2,4166.666666666667
2313,Built-up  Area,Dommasandra,4 Bedroom,2700.0,3.0,68.0,4,2518.5185185185187
2315,Super built-up  Area,Dommasandra,2 BHK,1153.0,2.0,43.5,2,3772.7666955767563
2316,Plot  Area,Dommasandra,2 Bedroom,1500.0,2.0,40.0,2,2666.6666666666665
2317,Super built-up  Area,Dommasandra,2 BHK,1090.0,2.0,43.5,2,3990.8256880733943
2318,Super built-up  Area,Dommasandra,2 BHK,850.0,2.0,25.4,2,2988.235294117647
2319,Super built-up  Area,Dommasandra,2 BHK,674.0,1.0,19.9,2,2952.522255192878
2320,Super built-up  Area,Dommasandra,2 BHK,999.0,2.0,32.9,2,3293.293293293293
2321,Super built-up  Area,Doopanahalli,3 BHK,1340.0,2.0,100.0,3,7462.686567164179
2322,Built-up  Area,Doopanahalli,3 BHK,2250.0,3.0,199.0,3,8844.444444444445
2323,Carpet  Area,Doopanahalli,3 BHK,1625.0,3.0,150.0,3,9230.76923076923
2324,Super built-up  Area,Dooravani Nagar,3 BHK,1596.0,3.0,105.0,3,6578.9473684210525
2325,Built-up  Area,Dooravani Nagar,3 BHK,1596.0,3.0,95.0,3,5952.380952380952
2326,Super built-up  Area,Dooravani Nagar,3 BHK,1570.0,3.0,115.0,3,7324.84076433121
2327,Super built-up  Area,Dr Shivarama Karantha Nagar,3 BHK,1500.0,2.0,65.0,3,4333.333333333333
2328,Super built-up  Area,Dr Shivarama Karantha Nagar,2 BHK,1200.0,2.0,54.0,2,4500.0
2329,Plot  Area,Dwarka Nagar,3 Bedroom,1200.0,3.0,95.75,3,7979.166666666667
2330,Built-up  Area,"ECC Road, Whitefield,",2 BHK,1132.0,2.0,67.0,2,5918.727915194347
2331,Super built-up  Area,EPIP Zone,3 BHK,1499.0,5.0,102.0,3,6804.536357571715
2332,Super built-up  Area,EPIP Zone,2 BHK,1285.0,2.0,82.0,2,6381.322957198444
2333,Super built-up  Area,EPIP Zone,3 BHK,2330.0,3.0,162.0,3,6952.789699570815
2334,Super built-up  Area,EPIP Zone,2 BHK,1330.0,2.0,92.5,2,6954.887218045113
2335,Super built-up  Area,EPIP Zone,2 BHK,1330.0,2.0,86.98,2,6539.849624060151
2336,Super built-up  Area,EPIP Zone,2 BHK,1330.0,2.0,93.36,2,7019.548872180451
2338,Super built-up  Area,EPIP Zone,3 BHK,1500.0,3.0,102.0,3,6800.0
2339,Built-up  Area,EPIP Zone,2 BHK,1280.0,2.0,69.0,2,5390.625
2340,Built-up  Area,EPIP Zone,2 BHK,1125.0,2.0,65.0,2,5777.777777777777
2341,Super built-up  Area,EPIP Zone,3 BHK,1734.0,3.0,125.0,3,7208.76585928489
2343,Super built-up  Area,EPIP Zone,2 BHK,1343.0,2.0,86.0,2,6403.574087862993
2344,Super built-up  Area,EPIP Zone,3 BHK,2350.0,4.0,163.0,3,6936.170212765957
2345,Super built-up  Area,EPIP Zone,3 BHK,1860.0,3.0,130.0,3,6989.247311827957
2346,Super built-up  Area,EPIP Zone,3 BHK,2210.0,3.0,165.0,3,7466.06334841629
2347,Super built-up  Area,EPIP Zone,3 BHK,2710.0,3.0,177.0,3,6531.365313653137
2349,Built-up  Area,Ejipura,3 BHK,1650.0,3.0,110.0,3,6666.666666666667
2350,Super built-up  Area,Ejipura,2 BHK,1190.0,2.0,70.0,2,5882.35294117647
2351,Super built-up  Area,Ejipura,3 BHK,2070.0,3.0,135.0,3,6521.739130434783
2352,Super built-up  Area,Ejipura,3 BHK,1600.0,3.0,95.0,3,5937.5
2353,Built-up  Area,Ejipura,2 BHK,1210.0,2.0,75.0,2,6198.347107438017
2355,Super built-up  Area,Electronic City,3 BHK,1025.0,2.0,47.0,3,4585.365853658536
2358,Super built-up  Area,Electronic City,3 BHK,1500.0,2.0,64.5,3,4300.0
2359,Built-up  Area,Electronic City,2 BHK,1060.0,2.0,60.0,2,5660.377358490566
2360,Super built-up  Area,Electronic City,2 BHK,1152.0,2.0,64.5,2,5598.958333333333
2362,Built-up  Area,Electronic City,2 BHK,770.0,1.0,36.0,2,4675.324675324675
2363,Super built-up  Area,Electronic City,2 BHK,1070.0,2.0,52.0,2,4859.813084112149
2364,Built-up  Area,Electronic City,2 BHK,1025.0,2.0,46.0,2,4487.804878048781
2365,Super built-up  Area,Electronic City,1 BHK,589.0,1.0,27.0,1,4584.040747028863
2367,Super built-up  Area,Electronic City,2 BHK,910.0,2.0,40.0,2,4395.604395604396
2368,Super built-up  Area,Electronic City,2 BHK,1108.0,2.0,63.0,2,5685.9205776173285
2369,Super built-up  Area,Electronic City,2 BHK,1128.0,2.0,65.0,2,5762.41134751773
2370,Super built-up  Area,Electronic City,3 BHK,1800.0,3.0,95.0,3,5277.777777777777
2371,Built-up  Area,Electronic City,1 BHK,630.0,1.0,34.65,1,5500.0
2372,Super built-up  Area,Electronic City,2 BHK,1128.0,2.0,63.0,2,5585.106382978724
2373,Super built-up  Area,Electronic City,3 BHK,1599.0,3.0,99.0,3,6191.369606003753
2376,Super built-up  Area,Electronic City,2 BHK,1070.0,2.0,55.0,2,5140.186915887851
2377,Super built-up  Area,Electronic City,2 BHK,940.0,2.0,41.0,2,4361.702127659574
2379,Super built-up  Area,Electronic City,2 BHK,1128.0,2.0,68.75,2,6094.858156028369
2380,Super built-up  Area,Electronic City,2 BHK,1342.0,2.0,73.3,2,5461.997019374068
2381,Super built-up  Area,Electronic City,3 BHK,1360.0,2.0,71.0,3,5220.588235294118
2383,Super built-up  Area,Electronic City,2 BHK,1265.0,2.0,56.93,2,4500.395256916996
2384,Super built-up  Area,Electronic City,3 BHK,1691.0,2.0,102.0,3,6031.933767001774
2385,Super built-up  Area,Electronic City,2 BHK,1128.0,2.0,65.49,2,5805.851063829787
2388,Super built-up  Area,Electronic City,2 BHK,1070.0,2.0,56.1,2,5242.990654205608
2389,Plot  Area,Electronic City,4 Bedroom,2000.0,4.0,120.0,4,6000.0
2390,Built-up  Area,Electronic City,2 BHK,890.0,2.0,45.0,2,5056.179775280899
2391,Super built-up  Area,Electronic City,2 BHK,1128.0,2.0,65.65,2,5820.035460992909
2392,Built-up  Area,Electronic City,2 BHK,865.0,2.0,42.0,2,4855.491329479769
2394,Super built-up  Area,Electronic City,2 BHK,910.0,2.0,42.0,2,4615.384615384615
2396,Built-up  Area,Electronic City,3 BHK,1360.0,2.0,75.0,3,5514.705882352941
2397,Super built-up  Area,Electronic City,2 BHK,770.0,1.0,40.0,2,5194.805194805195
2398,Super built-up  Area,Electronic City,2 BHK,1128.0,2.0,64.0,2,5673.758865248227
2399,Super built-up  Area,Electronic City,2 BHK,1070.0,2.0,54.0,2,5046.728971962617
2401,Super built-up  Area,Electronic City,3 BHK,1571.0,3.0,89.0,3,5665.1814131126675
2402,Super built-up  Area,Electronic City,3 BHK,1111.0,3.0,50.0,3,4500.450045004501
2403,Super built-up  Area,Electronic City,2 BHK,870.0,2.0,39.5,2,4540.229885057472
2405,Super built-up  Area,Electronic City,3 BHK,1374.0,2.0,72.0,3,5240.174672489083
2407,Super built-up  Area,Electronic City,2 BHK,1128.0,2.0,65.35,2,5793.439716312056
2408,Super built-up  Area,Electronic City,2 BHK,1128.0,2.0,65.0,2,5762.41134751773
2409,Super built-up  Area,Electronic City,2 BHK,755.0,1.0,34.0,2,4503.311258278146
2413,Super built-up  Area,Electronic City,3 BHK,1563.0,3.0,91.84,3,5875.879718490083
2414,Super built-up  Area,Electronic City,3 BHK,1652.0,3.0,70.0,3,4237.28813559322
2416,Super built-up  Area,Electronic City,2 BHK,1025.0,2.0,54.5,2,5317.073170731707
2418,Super built-up  Area,Electronic City,3 BHK,1350.0,3.0,58.0,3,4296.2962962962965
2421,Super built-up  Area,Electronic City,3 BHK,1700.0,3.0,75.0,3,4411.764705882353
2423,Super built-up  Area,Electronic City,2 BHK,1128.0,2.0,68.0,2,6028.368794326241
2424,Built-up  Area,Electronic City,1 BHK,700.0,1.0,35.0,1,5000.0
2425,Super built-up  Area,Electronic City,3 BHK,1360.0,2.0,70.5,3,5183.823529411765
2427,Super built-up  Area,Electronic City,3 BHK,1571.0,3.0,105.0,3,6683.64099299809
2431,Built-up  Area,Electronic City,3 BHK,1600.0,3.0,104.0,3,6500.0
2433,Built-up  Area,Electronic City,3 BHK,1500.0,2.0,100.0,3,6666.666666666667
2437,Super built-up  Area,Electronic City,2 BHK,1152.0,2.0,65.0,2,5642.361111111111
2438,Super built-up  Area,Electronic City,2 BHK,1070.0,2.0,60.0,2,5607.476635514019
2439,Super built-up  Area,Electronic City,2 BHK,1128.0,2.0,65.5,2,5806.737588652482
2440,Super built-up  Area,Electronic City,2 BHK,1200.0,2.0,59.0,2,4916.666666666667
2441,Super built-up  Area,Electronic City,2 BHK,1152.0,2.0,65.75,2,5707.465277777777
